n,regime,epsilon,minimax,renyi_converse,fano_converse
182,constant,0.01,0.4249001201696733,0.12373276633026574,0.0953181449339986
183,constant,0.01,0.422222312635221,0.12066304127978154,0.0915404822190844
184,constant,0.01,0.4195618074862943,0.11763228448643641,0.08776281950417031
185,constant,0.01,0.4169057674432427,0.11464056270773898,0.08398515678925611
186,constant,0.01,0.41426747075461906,0.11168793778185895,0.08020749407434191
187,constant,0.01,0.41163342662666474,0.10877446667350808,0.07642983135942782
188,constant,0.01,0.4090164685030557,0.10590020151985081,0.07265216864451363
189,constant,0.01,0.4064053883387838,0.10306518967656617,0.06887450592959954
190,constant,0.01,0.40380851307817095,0.10026947376419595,0.06509684321468534
191,constant,0.01,0.40121978373619555,0.09751309171449166,0.06131918049977125
192,constant,0.01,0.3986434132353,0.09479607681695097,0.057541517784857055
193,constant,0.01,0.3960768011251099,0.09211845776548536,0.05376385506994297
194,constant,0.01,0.39352117388557656,0.08948025870510788,0.04998619235502877
195,constant,0.01,0.39097645191433666,0.08688149927870233,0.04620852964011468
196,constant,0.01,0.3884420317067287,0.08432219467411378,0.04243086692520048
197,constant,0.01,0.3859189327596674,0.08180235567096225,0.038653204210286285
198,constant,0.01,0.38340622519574585,0.07932198868777875,0.0348755414953722
199,constant,0.01,0.38090476694756725,0.07688109582906072,0.031097878780458
200,constant,0.01,0.37841981310842243,0.07447967493248227,0.027320216065543912
201,constant,0.01,0.3759352774595067,0.07211771961598981,0.023542553350629714
202,constant,0.01,0.37347809480938826,0.06979521932509872,0.019764890635715626
203,constant,0.01,0.37101317033570275,0.06751215938000284,0.015987227920801428
204,constant,0.01,0.36857987822608335,0.06526852102295048,0.01220956520588734
205,constant,0.01,0.3661438798560844,0.06306428146540195,0.008431902490973142
206,constant,0.01,0.36372584898531574,0.06089941393523427,0.004654239776059055
207,constant,0.01,0.3613179168202276,0.0587738877239792,0.0008765770611448565
208,constant,0.01,0.3589163657345991,0.056687668233986216,0.0
209,constant,0.01,0.3565353970912049,0.05464071702570655,0.0
210,constant,0.01,0.35415208191494163,0.05263299186458447,0.0
211,constant,0.01,0.3517966288895953,0.05066444676828289,0.0
212,constant,0.01,0.3494406414016889,0.04873503205361587,0.0
213,constant,0.01,0.34710248801665683,0.04684469438360029,0.0
214,constant,0.01,0.34477290717081094,0.04499337681423874,0.0
215,constant,0.01,0.342452381808894,0.043181018841278604,0.0
216,constant,0.01,0.34014907860983895,0.04140755644711902,0.0
217,constant,0.01,0.33784979885912064,0.03967292214716162,0.0
218,constant,0.01,0.335568856997171,0.037977045036628215,0.0
219,constant,0.01,0.3332923768355306,0.036319850836814445,0.0
220,constant,0.01,0.3310333061433691,0.0347012619414725,0.0
221,constant,0.01,0.32878289636889385,0.033121197462911284,0.0
222,constant,0.01,0.3265414665461252,0.03157957327821966,0.0
223,constant,0.01,0.324316572829689,0.03007630207512039,0.0
224,constant,0.01,0.3220962790655794,0.028611293397825296,0.0
225,constant,0.01,0.3198946903735293,0.027184453692703593,0.0
226,constant,0.01,0.3176977947989504,0.025795686353756623,0.0
227,constant,0.01,0.3155152667691765,0.024444891768139024,0.0
228,constant,0.01,0.31334500750025307,0.023131967361257746,0.0
229,constant,0.01,0.31118130481601897,0.021856807641767437,0.0
230,constant,0.01,0.30903618567742003,0.02061930424675586,0.0
231,constant,0.01,0.3068934235954608,0.019419345986103332,0.0
232,constant,0.01,0.3047691005889785,0.01825681888731177,0.0
233,constant,0.01,0.3026534528828322,0.017131606239731305,0.0
234,constant,0.01,0.30054582408699965,0.016043588638817042,0.0
235,constant,0.01,0.298456742622232,0.014992644029924512,0.0
236,constant,0.01,0.2963685417875014,0.013978647752457555,0.0
237,constant,0.01,0.2943012633580241,0.013001472583157364,0.0
238,constant,0.01,0.2922406460247888,0.012060988779647262,0.0
239,constant,0.01,0.2901881143071287,0.011513586497802947,0.0
240,constant,0.01,0.2881546558903453,0.0113103964576506,0.0
241,constant,0.01,0.28612166225391344,0.01111081150325591,0.0
242,constant,0.01,0.28411008844268565,0.01091476721698587,0.0
243,constant,0.01,0.28210444581742367,0.010722200343471652,0.0
244,constant,0.01,0.28010532610778416,0.010533048768411685,0.0
245,constant,0.01,0.2781276492026549,0.010347251497618372,0.0
246,constant,0.01,0.2761504381321772,0.010164748636593843,0.0
247,constant,0.01,0.2741926108166954,0.009985481370428697,0.0
248,constant,0.01,0.2722421301151725,0.009809391944082637,0.0
249,constant,0.01,0.2702947222697808,0.00963642364299083,0.0
250,constant,0.01,0.26837314170419896,0.009466520774157057,0.0
251,constant,0.01,0.26645208612340626,0.009299628647427532,0.0
252,constant,0.01,0.26454575368337585,0.009135693557238998,0.0
253,constant,0.01,0.26265060368790466,0.00897466276468998,0.0
254,constant,0.01,0.26075765904513026,0.00881648447984228,0.0
255,constant,0.01,0.2588895315265615,0.00866110784452558,0.0
256,constant,0.01,0.25702291507075864,0.008508482915307307,0.0
257,constant,0.01,0.25516604972580426,0.008358560646844048,0.0
258,constant,0.01,0.2533263899669897,0.00821129287554688,0.0
259,constant,0.01,0.25148964516024,0.008066632303515776,0.0
260,constant,0.01,0.24967133080037737,0.007924532482842469,0.0
261,constant,0.01,0.24785908814346608,0.00778494780007022,0.0
262,constant,0.01,0.2460512084075131,0.007647833461114523,0.0
263,constant,0.01,0.24426815898290946,0.007513145476291453,0.0
264,constant,0.01,0.24248511732621672,0.007380840645760214,0.0
265,constant,0.01,0.24071430905987717,0.0072508765451782965,0.0
266,constant,0.01,0.23895666552793665,0.007123211511564782,0.0
267,constant,0.01,0.2372040319388573,0.006997804629553683,0.0
268,constant,0.01,0.23546963083824513,0.0068746157177773815,0.0
269,constant,0.01,0.2337395815515438,0.00675360531556801,0.0
270,constant,0.01,0.2320160282148564,0.006634734669897356,0.0
