n,regime,epsilon,minimax,legacy_converse,continuous_converse,absolute_improvement,legacy_selected_branch,legacy_selected_order,continuous_selected_branch,continuous_selected_order,legacy_reverse,continuous_reverse,reverse_absolute_improvement,legacy_reverse_order,continuous_reverse_order,continuous_reverse_a,continuous_reverse_objective,continuous_reverse_endpoint,continuous_reverse_adjacent_mesh_best,legacy_forward,continuous_forward,forward_absolute_improvement,legacy_forward_order,continuous_forward_order,continuous_forward_a,continuous_forward_log_bound,continuous_forward_endpoint,continuous_forward_adjacent_mesh_best,minimax_minus_continuous_converse
13,constant,0.01,0.9504614934170542,0.9392951790267846,0.9392983354414411,3.156414656535489e-06,reverse,4.76190476190476,reverse,4.802048061142546,0.9392951790267846,0.9392983354414411,3.156414656535489e-06,4.76190476190476,4.802048061142546,0.7917555202972977,2.801784158581661,finite,0.9392951790267847,0.7239100760130119,0.7239107320639145,6.560509026032335e-07,1.2195121951219512,1.218535607579977,0.17934281626286708,-0.3230871924525369,finite,0.7239100760130119,0.01116315797561307
13,linear,0.07692307692307693,0.7754631986435334,0.7171694677160924,0.7172090231237163,3.955540762390353e-05,reverse,3.4482758620689653,reverse,3.3993919652793667,0.7171694677160924,0.7172090231237163,3.955540762390353e-05,3.4482758620689653,3.3993919652793667,0.705829745373944,1.2630472518468017,finite,0.7171694677160924,0.5716155942003954,0.5716394055813592,2.3811380963745243e-05,1.639344262295082,1.6277205918101874,0.38564394587654605,-0.5592468962169613,finite,0.5716155942003954,0.05825417551981715
14,constant,0.01,0.9483317821442327,0.9353363407754893,0.9353391739382863,2.8331627969224726e-06,reverse,4.545454545454546,reverse,4.579234321852583,0.9353363407754893,0.9353391739382863,2.8331627969224726e-06,4.545454545454546,4.579234321852583,0.7816228806576034,2.7385997312991845,finite,0.9353363407754893,0.7092133623724615,0.7092386638374463,2.530146498480601e-05,1.2048192771084336,1.2105188997835197,0.17390798261899698,-0.34356318873082087,finite,0.7092133623724615,0.012992608205946499
14,linear,0.07142857142857142,0.776006776481205,0.7202003642946109,0.7202061202932717,5.755998660816886e-06,reverse,3.333333333333333,reverse,3.315690903088728,0.7202003642946109,0.7202061202932717,5.755998660816886e-06,3.333333333333333,3.315690903088728,0.6984037326674657,1.2737020908044006,finite,0.7202003642946107,0.5654252405413163,0.5654340081642657,8.767622949434895e-06,1.5873015873015872,1.58077542276167,0.3673990716195694,-0.5701616866736011,finite,0.5654252405413163,0.055800656187933284
15,constant,0.01,0.9449819332708432,0.9313401857356529,0.9313448753157612,4.689580108241387e-06,reverse,4.347826086956522,reverse,4.386811311476147,0.9313401857356529,0.9313448753157612,4.689580108241387e-06,4.347826086956522,4.386811311476147,0.7720439907264889,2.6786595001116247,finite,0.931340185735653,0.6949476157638755,0.6949494490967171,1.8333328415387484e-06,1.2048192771084336,1.2033223420951937,0.16896747860691608,-0.36391617117530883,finite,0.6949476157638755,0.013637057955082077
15,linear,0.06666666666666667,0.782406456881898,0.7224138457916416,0.722417379103197,3.5333115554481154e-06,reverse,3.2258064516129026,reverse,3.2389171617366657,0.7224138457916416,0.722417379103197,3.5333115554481154e-06,3.2258064516129026,3.2389171617366657,0.6912548391747652,1.2816366571478583,finite,0.7224138457916416,0.5588286077908744,0.5588294907167086,8.829258342224477e-07,1.5384615384615388,1.5403825142242884,0.3508106001166965,-0.5819108779082987,finite,0.5588286077908744,0.059989077778700994
16,constant,0.01,0.942826000530566,0.9273027776226327,0.927312805072322,1.0027449689364865e-05,reverse,4.166666666666667,reverse,4.218225050669343,0.9273027776226327,0.927312805072322,1.0027449689364865e-05,4.166666666666667,4.218225050669343,0.7629334641969088,2.6215900457517454,finite,0.9273027776226328,0.680986645838429,0.6810236400842513,3.699424582226385e-05,1.1904761904761905,1.1968152648809123,0.16444915991316023,-0.38415825965502937,finite,0.680986645838429,0.015513195458243922
16,linear,0.0625,0.7821454058785777,0.7239401410309558,0.7239824949057325,4.23538747766905e-05,reverse,3.1249999999999996,reverse,3.168151744281823,0.7239401410309558,0.7239824949057325,4.23538747766905e-05,3.1249999999999996,3.168151744281823,0.6843585532779818,1.287290991021628,finite,0.7239401410309558,0.5519045748312392,0.5519304869516973,2.591212045810476e-05,1.5151515151515154,1.5052564038882135,0.3356613548250587,-0.5943331700701497,finite,0.5519045748312392,0.058162910972845205
17,constant,0.01,0.9394972730075942,0.9232196039492189,0.9232411244855614,2.1520536342523044e-05,reverse,4.0,reverse,4.068786476124191,0.9232196039492189,0.9232411244855614,2.1520536342523044e-05,4.0,4.068786476124191,0.7542264736997034,2.5670862573189006,finite,0.923219603949219,0.6674438870181824,0.667444054540601,1.675224186037383e-07,1.1904761904761905,1.190894139857161,0.16029480158501527,-0.4042997056425942,finite,0.6674438870181824,0.01625614852203283
17,linear,0.058823529411764705,0.7869739816956319,0.7249970284880871,0.7250091370587464,1.2108570659252749e-05,reverse,3.1249999999999996,reverse,3.102635432572387,0.7249970284880871,0.7250091370587464,1.2108570659252749e-05,3.1249999999999996,3.102635432572387,0.6776933604568222,1.2910174075357193,finite,0.7249970284880871,0.5448119463469735,0.544816448273562,4.501926588518224e-06,1.4705882352941178,1.4744277816282052,0.32177078290283995,-0.607306333204711,finite,0.5448119463469735,0.06196484463688556
18,constant,0.01,0.9373297689022958,0.9191067781268656,0.9191285641945746,2.1786067708973178e-05,reverse,4.0,reverse,3.935028725465134,0.9191067781268656,0.9191285641945746,2.1786067708973178e-05,4.0,3.935028725465134,0.7458722490312198,2.5148945975442523,finite,0.9191067781268656,0.6541704525930382,0.6541953497540071,2.4897160968873067e-05,1.1904761904761905,1.185476053781253,0.15645702263630673,-0.4243492721972064,finite,0.6541704525930382,0.01820120470772124
18,linear,0.05555555555555555,0.786362055734274,0.7255782017933385,0.7255816794497737,3.477656435157961e-06,reverse,3.03030303030303,reverse,3.0417350075185676,0.7255782017933385,0.7255816794497737,3.477656435157961e-06,3.03030303030303,3.0417350075185676,0.6712402633601554,1.293101619505553,finite,0.7255782017933385,0.537547117224548,0.5375486290728937,1.5118483457365883e-06,1.4492753623188408,1.447152080755069,0.30898762244930206,-0.6207360503789707,finite,0.537547117224548,0.06078037628450028
19,constant,0.01,0.9338678174151743,0.9149680920259868,0.9149742747269767,6.182700989842971e-06,reverse,3.846153846153846,reverse,3.8143211075393455,0.9149680920259868,0.9149742747269767,6.182700989842971e-06,3.846153846153846,3.8143211075393455,0.7378301480639868,2.464801418010313,finite,0.914968092025987,0.6412456802220151,0.6412636988409793,1.8018618964221744e-05,1.1764705882352942,1.1804937608886155,0.15289683594155465,-0.44431452001035976,finite,0.6412456802220151,0.01889354268819765
19,linear,0.05263157894736842,0.7899106122629268,0.7257114376058602,0.7257672149902379,5.577738437767543e-05,reverse,2.9411764705882346,reverse,2.984919515169255,0.7257114376058602,0.7257672149902379,5.577738437767543e-05,2.9411764705882346,2.984919515169255,0.6649825916852915,1.2937779529555593,finite,0.7257114376058602,0.5301628435076163,0.5301748727466292,1.2029239012889548e-05,1.4285714285714286,1.4228473888185655,0.2971839370416732,-0.6345483782784855,finite,0.5301628435076163,0.06414339727268892
20,constant,0.01,0.93180053386412,0.9107777179538239,0.9107777239744932,6.020669296447068e-09,reverse,3.7037037037037033,reverse,3.7046215630971746,0.9107777179538239,0.9107777239744932,6.020669296447068e-09,3.7037037037037033,3.7046215630971746,0.7300668953716368,2.416624539346171,finite,0.9107777179538239,0.6286361553479975,0.628636540442207,3.8509420940968653e-07,1.1764705882352942,1.175891740046297,0.1495815763102237,-0.4642020264287201,finite,0.6286361553479975,0.021022809889626792
20,linear,0.05,0.788874324704401,0.7256170482703641,0.7256197930800621,2.744809697974304e-06,reverse,2.9411764705882346,reverse,2.9317393545118913,0.7256170482703641,0.7256197930800621,2.744809697974304e-06,2.9411764705882346,2.9317393545118913,0.6589055577328118,1.2932405179480302,finite,0.7256170482703641,0.5227110208937077,0.5227329659031537,2.1945009445967223e-05,1.4084507042253522,1.4010527084887054,0.28625097832423096,-0.6486845267554315,finite,0.5227110208937077,0.06325453162433892
