n,regime,epsilon,minimax,achievability,converse,converse_reverse,converse_forward,achievability_lambda,converse_reverse_lambda,converse_forward_lambda,lp_objective,worst_type_i,worst_type_i_s,worst_type_ii,worst_type_ii_t,lp_iterations,active_null_constraints,active_alternative_constraints,achievability_type_i,achievability_worst_s,achievability_worst_t,achievability_eta,achievability_threshold,projection_s,projection_t,projection_D,achievability_minus_minimax,minimax_minus_converse,type_count
19,linear,0.05263157894736842,0.7899106122629268,0.795395782641355,0.7257114376058602,0.7257114376058602,0.5301628435076163,0.001,2.9411764705882346,1.4285714285714286,0.7899106122629268,0.052631578947367814,1.0,0.7899106133119778,0.48247898740008077,9.0,17.0,25.0,0.05263157894736842,1.0,0.8232177047757432,0.4166650462645158,0.9714368935783464,1.0,0.44678324054271057,1.697483024924677e-05,0.005485170378428217,0.0641991746570666,210
20,constant,0.01,0.93180053386412,0.9333565610855634,0.9107777179538239,0.9107777179538239,0.6286361553479975,0.001,3.7037037037037033,1.1764705882352942,0.93180053386412,0.009999999999999478,1.0,0.9318005352773714,0.48268906400320843,8.0,17.0,24.0,0.010000000000000002,1.0,0.7733572151511909,0.7507694096286429,1.6015964025624878,1.0,0.44678324054271057,1.697483024924677e-05,0.0015560272214434345,0.02102281591029609,231
20,linear,0.05,0.788874324704401,0.809064159067508,0.7256170482703641,0.7256170482703641,0.5227110208937077,0.5,2.9411764705882346,1.4084507042253522,0.788874324704401,0.04999999999999966,1.0,0.7888743265869479,0.7690528213862016,12.0,17.0,28.0,0.05,1.0,0.0,0.021917449968460255,1.0497521057410422,1.0,0.4434499058409389,0.008604631968951004,0.02018983436310695,0.06325727643403689,231
21,constant,0.01,0.9282840867019291,0.9389391645096954,0.9065296450219408,0.9065296450219408,0.6162745855440142,0.001,3.571428571428571,1.1764705882352942,0.9282840867019291,0.010000000000000668,1.0,0.928284088082066,0.3729933579624838,10.0,17.0,26.0,0.01,1.0,0.0,0.4768003237359986,1.691630907582128,1.0,0.44678324054271057,1.697483024924677e-05,0.010655077807766311,0.0217544416799883,253
21,linear,0.047619047619047616,0.791656855626963,0.797454732507498,0.7251630248367269,0.7251630248367269,0.5152285123643712,0.001,2.857142857142857,1.3888888888888888,0.791656855626963,0.047619047619047936,1.0,0.791656856665574,0.4825727669581814,9.0,17.0,25.0,0.047619047619047616,1.0,0.8071985332760963,0.9849636096485922,1.0745164427863494,1.0,0.44678324054271057,1.697483024924677e-05,0.005797876880535013,0.06649383079023607,253
22,constant,0.01,0.9261907796519346,0.9279777641904695,0.9022245571497934,0.9022245571497934,0.6042194788527578,0.001,3.571428571428571,1.1627906976744187,0.9261907796519346,0.01000000000000055,1.0,0.9261907810431201,0.4823597915208138,8.0,17.0,24.0,0.01,1.0,0.7982542112469673,0.4440736078832141,1.6583623974571686,1.0,0.44678324054271057,1.697483024924677e-05,0.0017869845385348748,0.0239662225021412,276
22,linear,0.045454545454545456,0.7902481906959546,0.8148129443964681,0.724476854586247,0.724476854586247,0.5077405385115491,0.5,2.857142857142857,1.36986301369863,0.7902481906959546,0.045454545454545935,1.0,0.7902481925860032,0.3877046794044469,12.0,17.0,28.0,0.045454545454545456,1.0,0.0,0.9516488983825738,1.1549208862273106,1.0,0.4434499058409389,0.008604631968951004,0.024564753700513475,0.06577133610970765,276
23,constant,0.01,0.9225092161141607,0.9336299220984289,0.897927755650776,0.897927755650776,0.5924697375122978,0.5,3.4482758620689653,1.1627906976744187,0.9225092161141607,0.010000000000000182,1.0,0.9225092178840297,0.3862753270686849,7.0,17.0,23.0,0.01,1.0,0.0,0.6034748736548529,1.6873928581081201,1.0,0.4434499058409389,0.008604631968951004,0.011120705984268175,0.02458146046338472,300
23,linear,0.043478260869565216,0.79248531429714,0.797079946318584,0.7235769407892279,0.7235769407892279,0.5002631097655277,0.001,2.7777777777777777,1.3513513513513513,0.79248531429714,0.04347826086956512,1.0,0.7924853152637629,0.48268703514634437,9.0,17.0,25.0,0.043478260869565216,1.0,0.7919981479644775,0.5558245458176487,1.1312824376810304,1.0,0.44678324054271057,1.697483024924677e-05,0.004594632021444056,0.06890837350791212,300
24,constant,0.01,0.9204511138474951,0.9229692050417256,0.8935632499782454,0.8935632499782454,0.5809484833795487,0.001,3.333333333333333,1.1627906976744187,0.9204511138474951,0.009999999999999948,1.0,0.920451115125435,0.4826245858575108,8.0,17.0,24.0,0.009999999999999998,1.0,0.8482013285160066,0.22208102552540077,1.7151283923518494,1.0,0.44678324054271057,1.697483024924677e-05,0.0025180911942305206,0.026887863869249684,325
24,linear,0.041666666666666664,0.7908162737345857,0.8121920340433683,0.7224398797425089,0.7224398797425089,0.49280476162638165,0.5,2.7777777777777777,1.3333333333333333,0.7908162737345857,0.04166666666666661,1.0,0.7908162749370097,0.8672723749419786,14.0,17.0,30.0,0.041666666666666664,1.0,0.0,0.29541890780360724,1.1607926434776386,1.0,0.4434499058409389,0.008604631968951004,0.02137576030878252,0.06837639399207684,325
